;superpower_Accuracy;superpower_Agility;superpower_Durability;superpower_Intelligence;superpower_Longevity;superpower_Reflexes;superpower_Stamina;superpower_Super_Strength;superpower_Telepathy;superpower_Underwater_breathing;superpower_Weapons_Master;superpower_Lantern_Power_Ring;superpower_Healing_Factor;superpower_Immortality;superpower_Regeneration;superpower_Energy_Absorption;superpower_Energy_Beams;superpower_Energy_Blasts;superpower_Power_Suit;superpower_Danger_Sense;superpower_Energy_Manipulation;superpower_Flight;superpower_Force_Fields;superpower_Hypnokinesis;superpower_Invisibility;superpower_Phasing;superpower_Super_Speed;superpower_Teleportation;superpower_Power_Augmentation;superpower_Gliding;superpower_Toxin_and_Disease_Resistance;superpower_Vision_-_Telescopic;superpower_Animal_Attributes;superpower_Animal_Oriented_Powers;superpower_Toxikinesis;superpower_Empathy;superpower_Size_Changing;superpower_Hydrokinesis;superpower_Endurance;superpower_Enhanced_Hearing;superpower_Enhanced_Senses;superpower_Sonar;superpower_Vision_-_Night;superpower_Wallcrawling;superpower_Energy_Armor;superpower_Psionic_Powers;superpower_Omnilingualism;superpower_Weapon-based_Powers;superpower_Invulnerability;superpower_Self-Sustenance;superpower_Duplication;superpower_Radiation_Immunity;superpower_Density_Control;superpower_Illumination;superpower_Molecular_Combustion;superpower_Molecular_Manipulation;superpower_Astral_Travel;superpower_Illusions;superpower_Intangibility;superpower_Magic;superpower_Precognition;superpower_Audiokinesis;superpower_Sonic_Scream;superpower_Human_physical_perfection;superpower_Stealth;superpower_Dexterity;superpower_Jump;superpower_Natural_Weapons;superpower_Natural_Armor;superpower_Shapeshifting;superpower_Sub-Mariner;superpower_Omnitrix;superpower_Cross-Dimensional_Awareness;superpower_Reality_Warping;superpower_Telekinesis;superpower_Time_Travel;superpower_Probability_Manipulation;superpower_Vision_-_Infrared;superpower_Electrokinesis;superpower_Enhanced_Memory;superpower_Enhanced_Smell;superpower_Cold_Resistance;superpower_Heat_Resistance;superpower_Symbiote_Costume;superpower_Technopath/Cyberpath;superpower_Vision_-_X-Ray;superpower_Astral_Projection;superpower_Mind_Blast;superpower_Mind_Control;superpower_Mind_Control_Resistance;superpower_Telepathy_Resistance;superpower_Vision_-_Thermal;superpower_Hyperkinesis;superpower_Spatial_Awareness;superpower_Clairvoyance;superpower_Magic_Resistance;superpower_Super_Breath;superpower_Terrakinesis;superpower_Cross-Dimensional_Travel;superpower_Power_Sense;superpower_Darkforce_Manipulation;superpower_Gravitokinesis;superpower_Aerokinesis;superpower_Geokinesis;superpower_Pyrokinesis;superpower_Energy_Resistance;superpower_Photokinesis;superpower_Echokinesis;superpower_Enhanced_Touch;superpower_Radar_Sense;superpower_Levitation;superpower_Possession;superpower_Vision_-_Microscopic;superpower_Banish;superpower_Timeframe_Control;superpower_Elasticity;superpower_Camouflage;superpower_Substance_Secretion;superpower_Fire_Resistance;superpower_Heat_Generation;superpower_Energy_Constructs;superpower_Projection;superpower_Grim_Reaping;superpower_Power_Absorption;superpower_Vision_-_Heat;superpower_Radiation_Absorption;superpower_Thermokinesis;superpower_Cryokinesis;superpower_Elemental_Transmogrification;superpower_Magnetokinesis;superpower_Chlorokinesis;superpower_Resurrection;superpower_Portal_Creation;superpower_Thirstokinesis;superpower_Power_Nullifier;superpower_Animation;superpower_Photographic_Reflexes;superpower_Atmokinesis;superpower_Nova_Force;superpower_Chronokinesis;superpower_Radiation_Control;superpower_Web_Creation;superpower_Power_Cosmic;superpower_Changing_Armor;superpower_Biokinesis;superpower_Seismic_Power;superpower_Qwardian_Power_Ring;superpower_Summoning;superpower_Adaptation;superpower_Electrical_Transport;superpower_Insanity;superpower_Anti-Gravity;superpower_Matter_Absorption;superpower_Psychokinesis;superpower_Omnipotence;superpower_Death_Touch;superpower_Intuitive_aptitude;superpower_Melting
superpower_Weapons_Master;14;14;1;8;4;5;12;7;4;1;42;0;4;2;1;1;1;3;0;2;2;1;1;1;0;0;4;4;0;0;1;2;0;0;0;1;0;0;3;3;3;0;2;1;0;0;0;8;2;1;2;0;0;0;0;1;0;0;0;2;0;0;0;7;7;0;0;0;0;2;0;0;1;0;1;0;0;0;1;1;5;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;2;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Lantern_Power_Ring;1;2;2;1;1;1;2;2;2;2;0;14;1;1;0;0;0;1;0;0;0;2;1;0;2;2;1;2;1;0;0;1;0;0;0;0;1;1;2;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Healing_Factor;5;34;48;14;22;32;57;77;11;4;4;1;182;12;7;14;3;20;4;8;6;34;10;5;2;1;57;12;1;2;13;15;5;12;0;1;5;0;12;13;24;1;8;11;0;3;1;12;22;7;2;1;3;0;0;6;0;4;0;7;1;0;0;1;1;3;19;15;2;15;0;0;2;0;8;4;0;3;0;2;4;3;2;5;2;9;3;2;2;3;4;3;0;0;2;4;9;0;3;0;1;1;0;2;3;0;0;0;0;1;2;1;6;0;0;1;6;2;3;1;2;0;1;1;8;2;0;0;1;1;1;2;0;0;0;1;0;2;1;0;1;4;0;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0
superpower_Immortality;2;8;14;5;8;7;15;26;9;1;2;1;12;76;3;7;1;8;0;1;10;16;9;0;2;3;16;12;2;0;7;2;0;0;1;3;11;0;2;2;0;0;1;0;1;6;2;1;18;4;3;0;2;0;0;9;0;4;2;5;1;0;0;0;1;0;1;2;1;9;0;0;6;1;6;1;0;0;1;0;1;3;2;1;2;1;4;2;3;2;6;0;0;0;0;0;0;0;3;0;1;1;0;0;3;0;0;0;0;1;5;2;1;0;1;3;0;1;1;0;1;0;0;0;1;0;0;1;0;0;1;4;1;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
superpower_Regeneration;1;1;4;1;3;3;3;7;2;0;1;0;7;3;30;2;1;2;0;0;0;4;0;0;0;1;1;4;0;0;3;1;2;2;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;3;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;2;3;1;4;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
superpower_Energy_Absorption;3;8;20;9;9;8;15;30;7;2;1;0;14;7;2;92;10;29;4;0;12;26;10;4;2;4;21;2;2;0;1;11;0;0;0;0;5;0;1;9;7;0;3;0;2;5;1;3;14;4;0;2;2;0;0;8;0;3;1;1;0;0;1;2;0;0;7;2;4;3;0;0;1;1;8;3;0;1;3;1;1;0;1;0;3;9;3;2;2;0;2;3;0;0;0;1;7;0;0;0;1;2;0;0;3;1;0;0;0;0;3;0;7;0;0;1;0;0;0;0;2;0;0;3;9;0;0;0;0;2;0;3;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0
superpower_Energy_Beams;3;4;10;7;3;4;7;14;3;2;1;0;3;1;1;10;46;15;3;1;5;11;6;1;3;3;7;3;0;0;2;2;0;0;0;0;2;1;0;1;1;0;2;0;0;5;0;3;3;2;0;2;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;1;0;1;0;0;0;1;0;2;0;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;2;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;2;0;0;1;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Energy_Blasts;5;19;32;11;11;15;25;58;16;3;3;1;20;8;2;29;15;174;8;2;23;52;23;3;6;8;33;18;4;1;2;9;1;1;0;2;13;1;4;7;5;0;3;2;0;8;2;12;19;10;3;2;2;0;0;11;1;3;3;7;2;1;2;1;1;0;3;2;3;6;0;0;3;1;13;8;1;2;4;3;2;2;6;1;2;6;3;2;3;0;1;4;0;0;2;1;3;0;2;0;1;4;0;0;7;2;3;0;0;1;6;0;2;0;1;0;1;0;1;1;2;0;0;3;5;1;1;4;0;4;0;1;1;0;0;0;0;0;1;0;1;0;2;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
superpower_Power_Suit;2;2;10;2;3;2;3;12;0;2;0;0;4;0;0;4;3;8;28;0;1;10;5;1;2;1;5;0;0;0;0;5;0;0;0;0;1;0;2;2;2;0;2;0;0;0;0;6;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;3;1;0;1;3;3;1;1;2;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Danger_Sense;2;7;6;2;1;7;8;8;3;0;2;0;8;1;0;0;1;2;0;20;2;2;2;2;1;1;8;2;0;0;0;0;2;3;0;0;0;0;0;0;3;0;2;6;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;6;7;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Energy_Manipulation;2;8;9;5;2;2;10;17;9;0;2;0;6;10;0;12;5;23;1;2;66;20;12;1;2;3;10;11;2;0;0;1;0;0;0;2;8;0;0;2;3;0;1;1;0;9;1;0;11;2;3;0;0;0;0;8;0;4;0;2;1;0;0;1;1;0;0;0;0;3;0;0;4;2;7;2;0;0;2;0;2;2;4;1;2;2;3;2;3;0;4;0;0;0;0;0;0;0;1;0;1;2;0;0;6;1;0;0;0;1;3;0;1;0;1;0;1;0;1;2;3;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
superpower_Flight;4;23;55;23;22;19;47;96;30;5;1;2;34;16;4;26;11;52;10;2;20;276;32;8;12;12;67;21;3;4;8;22;4;8;2;4;17;2;11;20;20;2;4;4;1;12;5;13;38;12;3;4;3;0;0;12;3;9;9;11;3;3;4;1;1;1;8;6;3;17;1;0;5;2;19;8;0;4;6;3;3;3;6;2;6;16;6;4;5;1;4;6;0;0;3;3;11;1;4;0;1;6;2;3;7;1;3;0;0;1;5;2;11;1;0;1;1;1;4;1;2;0;0;3;13;1;3;3;0;4;1;4;2;0;0;0;0;2;0;0;1;0;4;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
superpower_Force_Fields;4;9;15;7;10;3;12;27;16;2;1;1;10;9;0;10;6;23;5;2;12;32;94;2;10;4;17;11;2;0;2;5;0;0;0;1;8;2;2;4;4;0;2;0;1;10;2;7;14;5;3;1;1;0;0;6;1;6;2;3;1;0;0;1;0;1;2;0;1;5;0;0;4;2;14;5;0;2;2;1;2;1;1;1;3;4;6;5;6;1;5;3;0;0;0;0;2;0;2;0;1;3;2;1;5;0;1;0;0;1;6;0;1;1;1;0;2;0;0;0;1;0;0;1;2;0;1;2;0;4;0;4;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
superpower_Hypnokinesis;1;2;4;8;4;1;6;9;4;1;1;0;5;0;0;4;1;3;1;2;1;8;2;28;2;1;7;3;0;0;1;4;0;0;1;0;0;0;1;4;4;1;0;1;0;1;2;1;6;1;0;0;0;0;0;0;0;2;1;2;1;0;0;1;1;0;5;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;4;1;0;0;0;1;0;0;0;2;2;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
superpower_Invisibility;3;3;3;3;2;2;4;7;7;3;0;2;2;2;0;2;3;6;2;1;2;12;10;2;28;7;7;6;1;0;0;4;0;0;0;1;4;1;3;2;2;0;3;0;0;2;1;3;5;2;1;2;1;0;0;0;1;4;4;3;1;0;0;0;0;0;1;0;0;3;0;0;2;0;2;1;0;0;0;1;1;0;0;0;0;3;1;0;0;0;1;4;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;2;1;2;1;0;0;1;0;1;0;1;0;0;1;2;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Phasing;2;3;6;5;1;2;5;8;6;2;0;2;1;3;1;4;3;8;1;1;3;12;4;1;7;30;6;6;1;0;0;4;0;0;0;1;4;1;3;3;3;0;2;0;0;2;1;2;5;3;1;1;1;0;0;1;1;4;6;1;0;0;0;0;0;0;1;0;1;2;0;0;2;0;1;3;0;0;0;2;1;0;0;0;1;2;1;0;1;0;2;4;0;0;0;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;1;1;3;0;0;0;1;0;1;0;1;0;0;1;2;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Super_Speed;6;53;80;22;25;61;86;136;22;7;4;1;57;16;1;21;7;33;5;8;10;67;17;7;7;6;304;16;3;0;11;19;8;13;1;3;10;3;25;19;30;1;11;16;1;3;3;19;40;15;5;3;2;2;1;16;2;5;6;11;3;1;1;0;1;3;21;14;6;22;1;0;3;0;12;8;2;4;2;5;5;3;4;5;4;14;2;2;2;2;1;7;0;0;3;3;12;1;7;0;2;4;1;3;5;0;2;0;0;1;3;0;11;0;1;0;8;1;3;1;4;0;0;3;13;2;1;2;0;4;1;3;1;0;0;2;0;2;1;2;2;4;4;0;1;0;1;1;1;1;2;0;1;0;0;0;0;0
superpower_Teleportation;4;10;8;8;10;7;17;22;14;1;4;2;12;12;4;2;3;18;0;2;11;21;11;3;6;6;16;84;3;0;1;1;0;0;0;3;8;1;3;2;1;0;2;2;0;6;2;6;13;2;4;0;0;0;0;5;3;5;6;11;2;0;0;0;1;0;1;0;1;8;0;0;7;1;8;5;1;0;0;2;3;0;1;1;0;1;3;2;2;2;4;1;0;0;1;1;1;0;6;0;2;1;0;0;5;0;0;0;0;1;3;1;1;1;1;0;3;0;0;1;2;0;0;1;2;0;0;2;0;2;0;2;1;0;0;0;0;1;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
superpower_Power_Augmentation;1;2;1;2;2;2;3;4;4;1;0;1;1;2;0;2;0;4;0;0;2;3;2;0;1;1;3;3;16;0;0;1;0;0;0;0;4;1;1;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;1;0;1;3;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Gliding;0;1;2;0;0;1;1;3;1;0;0;0;2;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Toxin_and_Disease_Resistance;1;8;14;3;10;8;17;22;0;1;1;0;13;7;3;1;2;2;0;0;0;8;2;1;0;0;11;1;0;1;56;2;0;2;3;1;0;0;4;2;5;0;0;1;0;1;0;2;9;4;1;1;0;0;0;2;0;1;0;3;0;0;0;2;2;0;1;5;0;4;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;2;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
